texte,quantity_kg,article_context,machine_context
Agent hydrophobe ASA sizing machine PM,489.203,,
Agent hydrophobe ASA sizing ratio,148.654,,
Agent hydrophobe ASA sizing tour formation,300.336,,
Agent hydrophobe ASA sizing wet end,41.304,,
Agent hydrophobe ASA sizing — ligne papier,331.488,,
Ajout masse Agent de collage ASA Kraft pour sacs,125.277,,
Ajout masse Agent de collage ASA Kraft pour sacs (kg/t),239.798,,
Ajout masse Agent de collage ASA Kraft pour sacs kg/t papier,492.217,,
Ajout masse Agent de collage ASA Kraft pour sacs machine PM,105.763,,
Ajout masse Agent de collage ASA Kraft pour sacs ratio,318.578,,
Ajout masse Agent de collage ASA Kraft pour sacs tour formation,59.777,,
Ajout masse Agent de collage ASA Kraft pour sacs wet end,255.857,,
Ajout masse Agent de collage ASA Kraft pour sacs — ligne papier,208.468,,
Ajout masse Agent de rétention fines et charges,476.766,,
Ajout masse Agent de rétention fines et charges (kg/t),418.961,,
Ajout masse Agent de rétention fines et charges kg/t papier,186.418,,
Ajout masse Agent de rétention fines et charges machine PM,369.937,,
Ajout masse Agent de rétention fines et charges ratio,387.826,,
Ajout masse Agent de rétention fines et charges tour formation,319.668,,
Ajout masse Agent de rétention fines et charges wet end,409.937,,
Ajout masse Agent de rétention fines et charges — ligne papier,419.447,,
Ajout masse agent de rétention ratio,11.871,,
Ajout masse agent de rétention ratio (kg/t),330.746,,
Ajout masse agent de rétention ratio kg/t papier,53.854,,
Ajout masse agent de rétention ratio machine PM,116.571,,
Ajout masse agent de rétention ratio ratio,322.574,,
Ajout masse agent de rétention ratio tour formation,74.57,,
Ajout masse agent de rétention ratio wet end,56.4,,
Ajout masse agent de rétention ratio — ligne papier,161.21,,
Ajout masse Agent hydrophobe ASA sizing,342.666,,
Ajout masse Agent hydrophobe ASA sizing (kg/t),303.965,,
Ajout masse Agent hydrophobe ASA sizing kg/t papier,472.868,,
Ajout masse Agent hydrophobe ASA sizing machine PM,96.384,,
Ajout masse Agent hydrophobe ASA sizing ratio,252.012,,
Ajout masse Agent hydrophobe ASA sizing tour formation,39.465,,
Ajout masse Agent hydrophobe ASA sizing wet end,473.026,,
Ajout masse Agent hydrophobe ASA sizing — ligne papier,303.577,,
Ajout masse amidon cationique ratio,357.763,,
Ajout masse amidon cationique ratio (kg/t),57.398,,
Ajout masse amidon cationique ratio kg/t papier,422.702,,
Ajout masse amidon cationique ratio machine PM,92.738,,
Ajout masse amidon cationique ratio masse,115.311,,
Ajout masse amidon cationique ratio masse (kg/t),55.457,,
Ajout masse amidon cationique ratio masse kg/t papier,421.648,,
Ajout masse amidon cationique ratio masse machine PM,320.47,,
Ajout masse amidon cationique ratio masse ratio,417.025,,
Ajout masse amidon cationique ratio masse tour formation,28.877,,
Ajout masse amidon cationique ratio masse wet end,274.95,,
Ajout masse amidon cationique ratio masse — ligne papier,193.314,,
Ajout masse amidon cationique ratio ratio,327.2,,
Ajout masse amidon cationique ratio tour formation,187.577,,
Ajout masse amidon cationique ratio wet end,367.263,,
Ajout masse amidon cationique ratio — ligne papier,66.533,,
Ajout masse Amidon cationique — masse humide,176.94,,
Ajout masse Amidon cationique — masse humide (kg/t),253.216,,
Ajout masse Amidon cationique — masse humide kg/t papier,172.469,,
Ajout masse Amidon cationique — masse humide machine PM,432.262,,
Ajout masse Amidon cationique — masse humide ratio,300.674,,
Ajout masse Amidon cationique — masse humide tour formation,277.066,,
Ajout masse Amidon cationique — masse humide wet end,345.517,,
Ajout masse Amidon cationique — masse humide — ligne papier,40.622,,
Ajout masse amidon oxydé ratio,268.095,,
Ajout masse amidon oxydé ratio (kg/t),24.661,,
Ajout masse amidon oxydé ratio kg/t papier,495.606,,
Ajout masse amidon oxydé ratio machine PM,55.448,,
Ajout masse amidon oxydé ratio ratio,52.212,,
Ajout masse amidon oxydé ratio surface sèche,379.558,,
Ajout masse amidon oxydé ratio surface sèche (kg/t),11.667,,
Ajout masse amidon oxydé ratio surface sèche kg/t papier,383.196,,
Ajout masse amidon oxydé ratio surface sèche machine PM,352.179,,
Ajout masse amidon oxydé ratio surface sèche ratio,418.027,,
Ajout masse amidon oxydé ratio surface sèche tour formation,303.464,,
Ajout masse amidon oxydé ratio surface sèche wet end,279.349,,
Ajout masse amidon oxydé ratio surface sèche — ligne papier,402.024,,
Ajout masse amidon oxydé ratio tour formation,201.064,,
Ajout masse amidon oxydé ratio wet end,424.004,,
Ajout masse amidon oxydé ratio — ligne papier,415.318,,
Ajout masse Amidon oxydé traitement surface (size press),257.912,,
Ajout masse Amidon oxydé traitement surface (size press) (kg/t),40.685,,
Ajout masse Amidon oxydé traitement surface (size press) kg/t papier,441.081,,
Ajout masse Amidon oxydé traitement surface (size press) machine PM,356.589,,
Ajout masse Amidon oxydé traitement surface (size press) ratio,272.933,,
Ajout masse Amidon oxydé traitement surface (size press) tour formation,451.519,,
Ajout masse Amidon oxydé traitement surface (size press) wet end,261.575,,
Ajout masse Amidon oxydé traitement surface (size press) — ligne papier,459.273,,
Ajout masse antimousse 2 (Erol),5.63,,
Ajout masse antimousse 2 (Erol) (kg/t),342.997,,
Ajout masse antimousse 2 (Erol) kg/t papier,272.64,,
Ajout masse antimousse 2 (Erol) machine PM,265.77,,
Ajout masse antimousse 2 (Erol) ratio,195.693,,
Ajout masse antimousse 2 (Erol) tour formation,362.5,,
Ajout masse antimousse 2 (Erol) wet end,32.67,,
Ajout masse antimousse 2 (Erol) — ligne papier,196.18,,
Ajout masse Antimousse Afranil rupture mousse,324.955,,
Ajout masse Antimousse Afranil rupture mousse (kg/t),63.77,,
Ajout masse Antimousse Afranil rupture mousse kg/t papier,16.246,,
Ajout masse Antimousse Afranil rupture mousse machine PM,440.557,,
Ajout masse Antimousse Afranil rupture mousse ratio,181.735,,
Ajout masse Antimousse Afranil rupture mousse tour formation,201.812,,
Ajout masse Antimousse Afranil rupture mousse wet end,138.22,,
Ajout masse Antimousse Afranil rupture mousse — ligne papier,461.819,,
Ajout masse Antimousse Erol ligne carton,297.694,,
Ajout masse Antimousse Erol ligne carton (kg/t),150.423,,
Ajout masse Antimousse Erol ligne carton kg/t papier,324.712,,
Ajout masse Antimousse Erol ligne carton machine PM,45.965,,
Ajout masse Antimousse Erol ligne carton ratio,74.083,,
Ajout masse Antimousse Erol ligne carton tour formation,252.578,,
Ajout masse Antimousse Erol ligne carton wet end,296.017,,
Ajout masse Antimousse Erol ligne carton — ligne papier,29.224,,
Ajout masse antimousse ratio (antimousse 1 (afranil)),487.719,,
Ajout masse antimousse ratio (antimousse 1 (afranil)) (kg/t),14.932,,
Ajout masse antimousse ratio (antimousse 1 (afranil)) kg/t papier,268.715,,
Ajout masse antimousse ratio (antimousse 1 (afranil)) machine PM,300.198,,
Ajout masse antimousse ratio (antimousse 1 (afranil)) ratio,255.733,,
Ajout masse antimousse ratio (antimousse 1 (afranil)) tour formation,275.14,,
Ajout masse antimousse ratio (antimousse 1 (afranil)) wet end,216.459,,
Ajout masse antimousse ratio (antimousse 1 (afranil)) — ligne papier,320.202,,
Ajout masse Biocide contrôle slime machine papier,434.715,,
Ajout masse Biocide contrôle slime machine papier (kg/t),149.363,,
Ajout masse Biocide contrôle slime machine papier kg/t papier,259.109,,
Ajout masse Biocide contrôle slime machine papier machine PM,281.427,,
Ajout masse Biocide contrôle slime machine papier ratio,239.625,,
Ajout masse Biocide contrôle slime machine papier tour formation,416.443,,
Ajout masse Biocide contrôle slime machine papier wet end,245.421,,
Ajout masse Biocide contrôle slime machine papier — ligne papier,292.02,,
Ajout masse Biocide ratio,494.031,,
Ajout masse Biocide ratio (kg/t),438.954,,
Ajout masse Biocide ratio kg/t papier,347.873,,
Ajout masse Biocide ratio machine PM,108.287,,
Ajout masse Biocide ratio ratio,380.948,,
Ajout masse Biocide ratio tour formation,399.865,,
Ajout masse Biocide ratio wet end,224.073,,
Ajout masse Biocide ratio — ligne papier,408.246,,
Ajout masse Coagulant PAC fixation charges anioniques,494.333,,
Ajout masse Coagulant PAC fixation charges anioniques (kg/t),150.005,,
Ajout masse Coagulant PAC fixation charges anioniques kg/t papier,222.215,,
Ajout masse Coagulant PAC fixation charges anioniques machine PM,329.02,,
Ajout masse Coagulant PAC fixation charges anioniques ratio,417.358,,
Ajout masse Coagulant PAC fixation charges anioniques tour formation,301.48,,
Ajout masse Coagulant PAC fixation charges anioniques wet end,339.08,,
Ajout masse Coagulant PAC fixation charges anioniques — ligne papier,268.235,,
Ajout masse Collage PPO imperméabilité TestLiner,236.183,,
Ajout masse Collage PPO imperméabilité TestLiner (kg/t),104.573,,
Ajout masse Collage PPO imperméabilité TestLiner kg/t papier,4.743,,
Ajout masse Collage PPO imperméabilité TestLiner machine PM,38.94,,
Ajout masse Collage PPO imperméabilité TestLiner ratio,149.625,,
Ajout masse Collage PPO imperméabilité TestLiner tour formation,63.421,,
Ajout masse Collage PPO imperméabilité TestLiner wet end,47.004,,
Ajout masse Collage PPO imperméabilité TestLiner — ligne papier,363.373,,
Ajout masse Colorant masse humide (dye wet end),449.97,,
Ajout masse Colorant masse humide (dye wet end) (kg/t),344.139,,
Ajout masse Colorant masse humide (dye wet end) kg/t papier,364.043,,
Ajout masse Colorant masse humide (dye wet end) machine PM,397.106,,
Ajout masse Colorant masse humide (dye wet end) ratio,103.504,,
Ajout masse Colorant masse humide (dye wet end) tour formation,31.023,,
Ajout masse Colorant masse humide (dye wet end) wet end,212.725,,
Ajout masse Colorant masse humide (dye wet end) — ligne papier,368.001,,
Ajout masse Defoamer 2 (Erol),261.206,,
Ajout masse Defoamer 2 (Erol) (kg/t),81.85,,
Ajout masse Defoamer 2 (Erol) kg/t papier,243.068,,
Ajout masse Defoamer 2 (Erol) machine PM,102.525,,
Ajout masse Defoamer 2 (Erol) ratio,295.71,,
Ajout masse Defoamer 2 (Erol) tour formation,192.853,,
Ajout masse Defoamer 2 (Erol) wet end,163.252,,
Ajout masse Defoamer 2 (Erol) — ligne papier,297.318,,
Ajout masse defoamer Afranil rupture mousse,326.798,,
Ajout masse defoamer Afranil rupture mousse (kg/t),495.322,,
Ajout masse defoamer Afranil rupture mousse kg/t papier,119.941,,
Ajout masse defoamer Afranil rupture mousse machine PM,258.296,,
Ajout masse defoamer Afranil rupture mousse ratio,356.642,,
Ajout masse defoamer Afranil rupture mousse tour formation,453.497,,
Ajout masse defoamer Afranil rupture mousse wet end,397.354,,
Ajout masse defoamer Afranil rupture mousse — ligne papier,33.438,,
Ajout masse defoamer Erol ligne carton,404.551,,
Ajout masse defoamer Erol ligne carton (kg/t),120.732,,
Ajout masse defoamer Erol ligne carton kg/t papier,24.494,,
Ajout masse defoamer Erol ligne carton machine PM,337.564,,
Ajout masse defoamer Erol ligne carton ratio,79.626,,
Ajout masse defoamer Erol ligne carton tour formation,346.591,,
Ajout masse defoamer Erol ligne carton wet end,323.962,,
Ajout masse defoamer Erol ligne carton — ligne papier,451.75,,
Ajout masse defoamer ratio (Defoamer 1 (afranil)),218.181,,
Ajout masse defoamer ratio (Defoamer 1 (afranil)) (kg/t),78.739,,
Ajout masse defoamer ratio (Defoamer 1 (afranil)) kg/t papier,187.26,,
Ajout masse defoamer ratio (Defoamer 1 (afranil)) machine PM,291.008,,
Ajout masse defoamer ratio (Defoamer 1 (afranil)) ratio,43.728,,
Ajout masse defoamer ratio (Defoamer 1 (afranil)) tour formation,60.764,,
Ajout masse defoamer ratio (Defoamer 1 (afranil)) wet end,341.524,,
Ajout masse defoamer ratio (Defoamer 1 (afranil)) — ligne papier,167.462,,
Ajout masse Dosage biocide Cannelure Fluting,297.299,,
Ajout masse Dosage biocide Cannelure Fluting (kg/t),394.294,,
Ajout masse Dosage biocide Cannelure Fluting kg/t papier,95.47,,
Ajout masse Dosage biocide Cannelure Fluting machine PM,297.375,,
Ajout masse Dosage biocide Cannelure Fluting ratio,286.776,,
Ajout masse Dosage biocide Cannelure Fluting tour formation,66.356,,
Ajout masse Dosage biocide Cannelure Fluting wet end,134.919,,
Ajout masse Dosage biocide Cannelure Fluting — ligne papier,308.907,,
Ajout masse Dye ratio (Wet end),249.304,,
Ajout masse Dye ratio (Wet end) (kg/t),176.366,,
Ajout masse Dye ratio (Wet end) kg/t papier,286.363,,
Ajout masse Dye ratio (Wet end) machine PM,330.019,,
Ajout masse Dye ratio (Wet end) ratio,339.118,,
Ajout masse Dye ratio (Wet end) tour formation,351.93,,
Ajout masse Dye ratio (Wet end) wet end,223.379,,
Ajout masse Dye ratio (Wet end) — ligne papier,398.324,,
Ajout masse Dye ratio wet end TestLiner coloré,346.453,,
Ajout masse Dye ratio wet end TestLiner coloré (kg/t),415.043,,
Ajout masse Dye ratio wet end TestLiner coloré kg/t papier,429.477,,
Ajout masse Dye ratio wet end TestLiner coloré machine PM,337.529,,
Ajout masse Dye ratio wet end TestLiner coloré ratio,324.74,,
Ajout masse Dye ratio wet end TestLiner coloré tour formation,20.972,,
Ajout masse Dye ratio wet end TestLiner coloré wet end,403.093,,
Ajout masse Dye ratio wet end TestLiner coloré — ligne papier,316.895,,
Ajout masse Krofta Polymer ratio,438.939,,
Ajout masse Krofta Polymer ratio (kg/t),297.173,,
Ajout masse Krofta Polymer ratio kg/t papier,78.231,,
Ajout masse Krofta Polymer ratio machine PM,33.325,,
Ajout masse Krofta Polymer ratio ratio,168.625,,
Ajout masse Krofta Polymer ratio tour formation,40.094,,
Ajout masse Krofta Polymer ratio wet end,277.683,,
Ajout masse Krofta Polymer ratio — ligne papier,285.958,,
Ajout masse PAC,360.283,,
Ajout masse PAC (kg/t),282.581,,
Ajout masse PAC coagulant tour de formation,218.99,,
Ajout masse PAC coagulant tour de formation (kg/t),450.562,,
Ajout masse PAC coagulant tour de formation kg/t papier,362.363,,
Ajout masse PAC coagulant tour de formation machine PM,407.44,,
Ajout masse PAC coagulant tour de formation ratio,380.382,,
Ajout masse PAC coagulant tour de formation tour formation,331.016,,
Ajout masse PAC coagulant tour de formation wet end,498.692,,
Ajout masse PAC coagulant tour de formation — ligne papier,294.516,,
Ajout masse PAC kg/t papier,181.228,,
Ajout masse PAC machine PM,146.119,,
Ajout masse PAC ratio,349.54,,
Ajout masse PAC tour formation,305.62,,
Ajout masse PAC wet end,372.17,,
Ajout masse PAC — ligne papier,365.417,,
Ajout masse Polymère clarification flottation Krofta,387.876,,
Ajout masse Polymère clarification flottation Krofta (kg/t),401.232,,
Ajout masse Polymère clarification flottation Krofta kg/t papier,303.111,,
Ajout masse Polymère clarification flottation Krofta machine PM,20.421,,
Ajout masse Polymère clarification flottation Krofta ratio,280.663,,
Ajout masse Polymère clarification flottation Krofta tour formation,472.478,,
Ajout masse Polymère clarification flottation Krofta wet end,123.333,,
Ajout masse Polymère clarification flottation Krofta — ligne papier,54.3,,
Ajout masse Prestige cleaning aids Ratio (prestige),469.593,,
Ajout masse Prestige cleaning aids Ratio (prestige) (kg/t),250.765,,
Ajout masse Prestige cleaning aids Ratio (prestige) kg/t papier,456.512,,
Ajout masse Prestige cleaning aids Ratio (prestige) machine PM,441.315,,
Ajout masse Prestige cleaning aids Ratio (prestige) ratio,161.95,,
Ajout masse Prestige cleaning aids Ratio (prestige) tour formation,374.365,,
Ajout masse Prestige cleaning aids Ratio (prestige) wet end,184.175,,
Ajout masse Prestige cleaning aids Ratio (prestige) — ligne papier,230.275,,
Ajout masse Prestige nettoyage filtre / circuit,194.332,,
Ajout masse Prestige nettoyage filtre / circuit (kg/t),104.952,,
Ajout masse Prestige nettoyage filtre / circuit kg/t papier,488.627,,
Ajout masse Prestige nettoyage filtre / circuit machine PM,89.592,,
Ajout masse Prestige nettoyage filtre / circuit ratio,113.637,,
Ajout masse Prestige nettoyage filtre / circuit tour formation,466.836,,
Ajout masse Prestige nettoyage filtre / circuit wet end,216.079,,
Ajout masse Prestige nettoyage filtre / circuit — ligne papier,282.039,,
Ajout masse retention aids fines et charges,125.906,,
Ajout masse retention aids fines et charges (kg/t),180.938,,
Ajout masse retention aids fines et charges kg/t papier,385.837,,
Ajout masse retention aids fines et charges machine PM,157.097,,
Ajout masse retention aids fines et charges ratio,216.558,,
Ajout masse retention aids fines et charges tour formation,277.038,,
Ajout masse retention aids fines et charges wet end,297.648,,
Ajout masse retention aids fines et charges — ligne papier,380.867,,
Ajout masse Retention aids ratio,388.119,,
Ajout masse Retention aids ratio (kg/t),467.091,,
Ajout masse Retention aids ratio kg/t papier,318.678,,
Ajout masse Retention aids ratio machine PM,375.559,,
Ajout masse Retention aids ratio ratio,288.404,,
Ajout masse Retention aids ratio tour formation,213.419,,
Ajout masse Retention aids ratio wet end,257.476,,
Ajout masse Retention aids ratio — ligne papier,223.637,,
Ajout masse Rétention aids ratio ligne production,294.46,,
Ajout masse Rétention aids ratio ligne production (kg/t),276.8,,
Ajout masse Rétention aids ratio ligne production kg/t papier,160.749,,
Ajout masse Rétention aids ratio ligne production machine PM,492.034,,
Ajout masse Rétention aids ratio ligne production ratio,80.957,,
Ajout masse Rétention aids ratio ligne production tour formation,440.186,,
Ajout masse Rétention aids ratio ligne production wet end,34.212,,
Ajout masse Rétention aids ratio ligne production — ligne papier,438.535,,
Ajout masse Size Press,343.772,,
Ajout masse Size Press (kg/t),107.646,,
Ajout masse Size Press kg/t papier,370.947,,
Ajout masse Size Press machine PM,345.864,,
Ajout masse Size Press ratio,304.694,,
Ajout masse Size Press tour formation,162.325,,
Ajout masse Size Press wet end,83.363,,
Ajout masse Size Press — ligne papier,93.868,,
Ajout masse Sizing Kraft (Agent collage ASA),427.935,,
Ajout masse Sizing Kraft (Agent collage ASA) (kg/t),272.934,,
Ajout masse Sizing Kraft (Agent collage ASA) kg/t papier,378.808,,
Ajout masse Sizing Kraft (Agent collage ASA) machine PM,368.83,,
Ajout masse Sizing Kraft (Agent collage ASA) ratio,32.487,,
Ajout masse Sizing Kraft (Agent collage ASA) tour formation,46.15,,
Ajout masse Sizing Kraft (Agent collage ASA) wet end,102.178,,
Ajout masse Sizing Kraft (Agent collage ASA) — ligne papier,240.345,,
Ajout masse Sizing PPO (Agent de collage),378.82,,
Ajout masse Sizing PPO (Agent de collage) (kg/t),306.427,,
Ajout masse Sizing PPO (Agent de collage) kg/t papier,50.284,,
Ajout masse Sizing PPO (Agent de collage) machine PM,353.722,,
Ajout masse Sizing PPO (Agent de collage) ratio,137.361,,
Ajout masse Sizing PPO (Agent de collage) tour formation,218.687,,
Ajout masse Sizing PPO (Agent de collage) wet end,94.197,,
Ajout masse Sizing PPO (Agent de collage) — ligne papier,232.336,,
Ajout masse Sizing PPO collage humide TestLiner,474.617,,
Ajout masse Sizing PPO collage humide TestLiner (kg/t),170.745,,
Ajout masse Sizing PPO collage humide TestLiner kg/t papier,39.569,,
Ajout masse Sizing PPO collage humide TestLiner machine PM,22.757,,
Ajout masse Sizing PPO collage humide TestLiner ratio,394.746,,
Ajout masse Sizing PPO collage humide TestLiner tour formation,334.852,,
Ajout masse Sizing PPO collage humide TestLiner wet end,164.41,,
Ajout masse Sizing PPO collage humide TestLiner — ligne papier,285.579,,
Ajout masse Starch cationic ratio,13.975,,
Ajout masse Starch cationic ratio (kg/t),457.963,,
Ajout masse Starch cationic ratio kg/t papier,316.886,,
Ajout masse Starch cationic ratio machine PM,75.995,,
Ajout masse Starch cationic ratio masse,1.554,,
Ajout masse Starch cationic ratio masse (kg/t),458.292,,
Ajout masse Starch cationic ratio masse kg/t papier,124.498,,
Ajout masse Starch cationic ratio masse machine PM,170.676,,
Ajout masse Starch cationic ratio masse ratio,83.303,,
Ajout masse Starch cationic ratio masse tour formation,307.105,,
Ajout masse Starch cationic ratio masse wet end,109.621,,
Ajout masse Starch cationic ratio masse — ligne papier,384.392,,
Ajout masse Starch cationic ratio ratio,202.335,,
Ajout masse Starch cationic ratio tour formation,271.581,,
Ajout masse Starch cationic ratio wet end,461.354,,
Ajout masse Starch cationic ratio — ligne papier,212.998,,
Ajout masse starch cationic — masse humide,300.266,,
Ajout masse starch cationic — masse humide (kg/t),288.663,,
Ajout masse starch cationic — masse humide kg/t papier,61.07,,
Ajout masse starch cationic — masse humide machine PM,166.047,,
Ajout masse starch cationic — masse humide ratio,62.186,,
Ajout masse starch cationic — masse humide tour formation,375.287,,
Ajout masse starch cationic — masse humide wet end,55.908,,
Ajout masse starch cationic — masse humide — ligne papier,20.508,,
Ajout masse Starch oxidized ratio,124.642,,
Ajout masse Starch oxidized ratio (kg/t),305.243,,
Ajout masse Starch oxidized ratio kg/t papier,85.458,,
Ajout masse Starch oxidized ratio machine PM,253.914,,
Ajout masse Starch oxidized ratio ratio,132.968,,
Ajout masse Starch oxidized ratio surface sèche,390.551,,
Ajout masse Starch oxidized ratio surface sèche (kg/t),446.263,,
Ajout masse Starch oxidized ratio surface sèche kg/t papier,241.146,,
Ajout masse Starch oxidized ratio surface sèche machine PM,81.968,,
Ajout masse Starch oxidized ratio surface sèche ratio,181.854,,
Ajout masse Starch oxidized ratio surface sèche tour formation,409.147,,
Ajout masse Starch oxidized ratio surface sèche wet end,333.228,,
Ajout masse Starch oxidized ratio surface sèche — ligne papier,177.448,,
Ajout masse Starch oxidized ratio tour formation,188.711,,
Ajout masse Starch oxidized ratio wet end,16.93,,
Ajout masse Starch oxidized ratio — ligne papier,378.014,,
Ajout masse starch oxidized traitement surface (size press),113.396,,
Ajout masse starch oxidized traitement surface (size press) (kg/t),160.199,,
Ajout masse starch oxidized traitement surface (size press) kg/t papier,291.089,,
Ajout masse starch oxidized traitement surface (size press) machine PM,81.603,,
Ajout masse starch oxidized traitement surface (size press) ratio,17.217,,
Ajout masse starch oxidized traitement surface (size press) tour formation,242.296,,
Ajout masse starch oxidized traitement surface (size press) wet end,285.717,,
Ajout masse starch oxidized traitement surface (size press) — ligne papier,351.72,,
amidon cationique ratio,269.403,,
amidon cationique ratio (kg/t),174.131,,
amidon cationique ratio kg/t papier,490.67,,
amidon cationique ratio machine PM,432.495,,
amidon cationique ratio masse,109.787,,
amidon cationique ratio masse (kg/t),236.216,,
amidon cationique ratio masse kg/t papier,395.573,,
amidon cationique ratio masse machine PM,453.432,,
amidon cationique ratio masse ratio,482.026,,
amidon cationique ratio masse tour formation,152.457,,
amidon cationique ratio masse wet end,440.513,,
amidon cationique ratio masse — ligne papier,349.927,,
amidon cationique ratio ratio,406.749,,
amidon cationique ratio tour formation,193.757,,
amidon cationique ratio wet end,397.232,,
amidon cationique ratio — ligne papier,127.581,,
Amidon cationique — masse humide,134.237,,
Amidon cationique — masse humide (kg/t),189.217,,
Amidon cationique — masse humide kg/t papier,388.754,,
Amidon cationique — masse humide machine PM,237.177,,
Amidon cationique — masse humide ratio,339.587,,
